SK_ID_CURR,TARGET
100001,0.0651896919320406
100005,0.11703718214835375
100013,0.06775611612458203
100028,0.07134415278215206
100038,0.11838631061053102
100042,0.05400194455382441
100057,0.0804352712303854
100065,0.09995202748091948
100066,0.04869288405284272
100067,0.0848527981599883
100074,0.06384976922392993
100090,0.10838784909327473
100091,0.10506611566541024
100092,0.0918712234057543
100106,0.11899688048711692
100107,0.09165178196276456
100109,0.09383143479452664
100117,0.07360876418970877
100128,0.06702196069234431
100141,0.09096916281221824
100150,0.07172410929554664
100168,0.05349803112556581
100169,0.040226451921296105
100170,0.08125065233709435
100171,0.0960626201765376
100172,0.1165966639967643
100184,0.06836297173621556
100187,0.05839294853766673
100212,0.07552738595189883
100222,0.08700383069550464
100223,0.05629676341236929
100232,0.06513185967097353
100241,0.12480657392766581
100245,0.06937207255784647
100253,0.05800921949609984
100256,0.09284659484720659
100271,0.05348054935347709
100278,0.10898811535755669
100280,0.06352383352684683
100306,0.1309316335041728
100311,0.10254441687549026
100312,0.057266419739738485
100330,0.07941950665439748
100331,0.09096844244660014
100352,0.08090260353991689
100358,0.09809156117930641
100367,0.08327876225241357
100382,0.07646939656497181
100384,0.07106894622282209
100385,0.0905509966996666
100386,0.07476533547403295
100399,0.06478434061156081
100404,0.06751010415959068
100416,0.06040291711967324
100422,0.12085675353015657
100426,0.07571386634122416
100438,0.06634234729825153
100444,0.09534844591783281
100445,0.11189608001878651
100446,0.09660878634654523
100447,0.0603974726688874
100450,0.06698447099663171
100466,0.07853232474446621
100483,0.06693597607405699
100484,0.049669727744261906
100494,0.08280588724752068
100510,0.10763936239059155
100512,0.05641130901024592
100517,0.06935866972417491
100548,0.05208400485376644
100551,0.06617214692792531
100552,0.11686559426928463
100553,0.0798727027615328
100561,0.08993526488367948
100568,0.12550679742674234
100569,0.060435997002223935
100591,0.089454124881186
100592,0.04973155046435055
100602,0.08762828294114466
100607,0.08065440348943806
100613,0.07582463177005763
100617,0.06653035753242802
100618,0.09201229636567186
100622,0.13893849814378664
100625,0.09376263032713911
100677,0.08156362009087603
100699,0.07807300190535589
100702,0.13321980962639415
100711,0.06605021120449271
100729,0.12723878698451938
100740,0.10846535190300707
100744,0.10155364453973866
100745,0.0928155778068384
100747,0.09682448321643598
